,mean,MCSE,q10,q50,q90,ESS,Rhat
"loglike[1,52]",2.672296425,0.061264778,2.55983561,2.670487075,2.796044734,12741.53999,1.000195271
"loglike[1,53]",2.430665298,0.046249561,2.344458829,2.429006029,2.526401266,14485.90856,1.000035167
"loglike[1,54]",2.748472636,0.072344914,2.617801577,2.745233872,2.89703029,11875.80454,1.000097248
"loglike[1,55]",1.646851343,0.120226516,1.362886957,1.665000364,1.832731084,12616.35777,0.999899411
"loglike[1,56]",2.495203148,0.043799609,2.412390497,2.493854244,2.583799475,16646.76198,1.00031691
"loglike[1,57]",2.247138771,0.044080984,2.159657579,2.247145092,2.333565419,20238.81037,1.000227137
"loglike[1,58]",2.316023638,0.043116471,2.23322979,2.314886316,2.403946575,18102.77766,1.000147788
"loglike[1,59]",2.650220367,0.063767274,2.53417429,2.646663865,2.782119145,11865.14066,1.000011926
"loglike[1,60]",2.745895245,0.072744063,2.61507515,2.742598018,2.896140185,11776.0821,1.000074149
"loglike[1,61]",2.033659731,0.058575446,1.903633739,2.038595788,2.134605705,19577.09473,1.000335883
"loglike[1,62]",2.599079244,0.052781909,2.500799653,2.597764619,2.705374647,13850.55607,1.000258295
"loglike[1,63]",2.494118294,0.050147537,2.401901878,2.492131489,2.597877735,13225.96129,1.000004793
"loglike[1,64]",-3.316732117,0.86548775,-5.296578391,-3.203946713,-1.938800683,11677.42104,0.999988623
"loglike[1,65]",2.299893677,0.04314619,2.216786866,2.299059532,2.387347254,18664.20669,1.000166943
"loglike[1,66]",2.688380822,0.063330518,2.572512669,2.68633819,2.815881824,12556.37543,1.000180142
"loglike[1,67]",2.724011841,0.06823011,2.6004164,2.721166591,2.86257669,12184.0353,1.000142501
"loglike[1,68]",2.650553137,0.06379991,2.534465847,2.646973347,2.782486094,11863.91719,1.000012031
"loglike[1,69]",2.02710137,0.067970058,1.868420715,2.035562502,2.137143366,14641.36253,0.999913192
"loglike[1,70]",2.728846451,0.06894568,2.604148143,2.725858625,2.869472268,12134.13733,1.00013641
"loglike[1,71]",2.706989786,0.0658235,2.587245434,2.704644616,2.840554583,12357.95971,1.000161543
"loglike[1,72]",2.321821055,0.043135332,2.239192204,2.320643445,2.410114566,17897.84387,1.000140944
"loglike[1,73]",2.667614505,0.060677518,2.556222511,2.665924336,2.790395127,12798.4504,1.000199565
"loglike[1,74]",2.729341984,0.071474169,2.600218843,2.725712092,2.876741309,11726.68861,1.00005218
"loglike[1,75]",1.401964502,0.156039715,1.034726676,1.424698918,1.644028534,12241.60224,0.999911019
"loglike[1,76]",2.74612201,0.072753702,2.615267499,2.742826356,2.8963678,11777.96621,1.000074706
"loglike[1,77]",2.356670128,0.040160455,2.278172887,2.356654856,2.436047133,20915.23373,1.000229367
"loglike[1,78]",1.10521348,0.200121372,0.637105134,1.134535184,1.415240481,12020.90019,0.999924245
"loglike[1,79]",0.468859353,0.295543692,-0.21256921,0.511992048,0.932335151,11826.47396,0.99994488
"loglike[1,80]",2.295992346,0.04317155,2.212800517,2.295221589,2.383338606,18796.79168,1.000171572
"loglike[1,81]",2.59686257,0.052549377,2.498916592,2.595579042,2.702667621,13893.11175,1.00026005
"loglike[1,82]",2.36548884,0.04005136,2.287620492,2.365354788,2.444820916,20822.55936,1.000241383
"loglike[1,83]",1.518395518,0.1217333,1.239348076,1.534596919,1.712310813,14702.0557,1.000263467
"loglike[1,84]",1.418142605,0.135392654,1.106749053,1.435931999,1.633435542,14351.96229,1.000250505
"loglike[1,85]",2.747955684,0.072203569,2.617638185,2.744659052,2.896359856,11890.09924,1.00009994
"loglike[1,86]",1.776356168,0.101719607,1.536330632,1.79104249,1.934209664,12980.24588,0.999895173
"loglike[1,87]",2.647331921,0.058203625,2.539873599,2.645872869,2.76462293,13063.66815,1.000217727
"loglike[1,88]",2.593136045,0.052161936,2.49560221,2.591920177,2.698171226,13966.0966,1.000262973
"loglike[1,89]",2.625034325,0.055615083,2.52186373,2.623718522,2.737429588,13396.50975,1.000236968
"loglike[1,90]",0.307127405,0.319872569,-0.429545812,0.353408695,0.808659221,11801.41547,0.999948823
"loglike[1,91]",2.417352273,0.045606238,2.332340476,2.415736554,2.511966707,14823.48854,1.000044716
"loglike[1,92]",2.736846586,0.070181125,2.610257069,2.733718978,2.880942345,12047.89339,1.000125016
"loglike[1,93]",2.493204695,0.043671378,2.410611442,2.491856516,2.581646214,16717.34413,1.000317288
"loglike[1,94]",-2.375262708,0.723828548,-4.031493641,-2.278645993,-1.225361295,11683.87581,0.999982776
"loglike[1,95]",2.065860492,0.063231231,1.918601351,2.073260725,2.169437254,15142.54129,0.999924742
"loglike[1,96]",2.737969107,0.070361848,2.610928993,2.73481748,2.88222755,12035.08287,1.000123213
"loglike[1,97]",-0.48621861,0.439342807,-1.492030626,-0.424089126,0.206754349,11731.59284,0.999963499
"loglike[1,98]",2.640842583,0.062850777,2.52646202,2.637325441,2.770729169,11901.78716,1.000009101
"loglike[1,99]",2.157530194,0.053013975,2.036248093,2.162577843,2.248843831,16837.61424,0.999974302
"loglike[1,100]",2.625861332,0.055708598,2.522603497,2.624481252,2.738360542,13383.28885,1.000236268
"loglike[1,101]",2.738372538,0.072242365,2.608188836,2.734818449,2.886823025,11741.57583,1.000061655
"loglike[1,102]",2.653476107,0.058941092,2.545019501,2.651913914,2.772394568,12979.89369,1.000212294
"loglike[1,103]",2.474214123,0.042552099,2.393910723,2.473151381,2.560763723,17412.26433,1.000318757
"loglike[1,104]",1.718478487,0.109937078,1.458388291,1.734909184,1.888676409,12795.79276,0.999896681
"loglike[1,105]",-1.757883499,0.593428288,-3.095113067,-1.68746256,-0.811672083,12405.15635,1.000134564
"loglike[1,106]",2.619582901,0.060801359,2.508650459,2.616297863,2.74523487,12001.09953,1.000003711
"loglike[1,107]",1.238153598,0.160324513,0.870368689,1.258684344,1.49384002,13898.71058,1.000231188
"loglike[1,108]",2.679215182,0.062144027,2.565382026,2.677309524,2.804531583,12660.03686,1.000188842
"loglike[1,109]",1.642115164,0.105210399,1.401527237,1.655808096,1.810263156,15287.30752,1.000281976
"loglike[1,110]",2.518861334,0.051988341,2.423221232,2.516767266,2.626180393,12873.03537,0.999999208
"loglike[1,111]",1.5552337,0.133532117,1.240596809,1.574652797,1.762116384,12442.57138,0.999903589
"loglike[1,112]",2.451757143,0.047399824,2.363524083,2.449980121,2.54998689,14004.90864,1.000022331
"loglike[1,113]",2.744989814,0.072699875,2.614152707,2.741646376,2.895046736,11769.43073,1.000072113
"loglike[1,114]",1.275284508,0.155146933,0.919069477,1.295114002,1.522741864,13978.18671,1.000234806
"loglike[1,115]",2.738404934,0.070432682,2.611185312,2.735230613,2.882816827,12030.03512,1.000122493
"loglike[1,116]",2.729065753,0.071449431,2.600022014,2.725439755,2.876421616,11726.45039,1.000051933
"loglike[1,117]",1.905261821,0.083873852,1.707192364,1.916975555,2.036805785,13592.3884,0.999896715
"loglike[1,118]",2.702634909,0.068941034,2.577612078,2.698928114,2.844731116,11735.34819,1.000033814
"loglike[1,119]",2.724933051,0.071073633,2.596802806,2.721215956,2.871664465,11723.98296,1.000048444
"loglike[1,120]",2.440803172,0.041046933,2.363074917,2.43976324,2.523938222,18687.58688,1.000310898
"loglike[1,121]",2.732284697,0.069467194,2.607034918,2.729199258,2.874287866,12097.87877,1.000131766
"loglike[1,122]",2.602523827,0.059192791,2.494258744,2.599495178,2.725039501,12098.49648,1.000000398
"loglike[1,123]",2.748976522,0.072711994,2.618103605,2.745783742,2.89890072,11826.6344,1.000087069
"loglike[1,124]",2.595700885,0.058560019,2.488272234,2.592833817,2.716787892,12142.26925,0.999999332
"loglike[1,125]",2.596412413,0.052502343,2.498612526,2.595119458,2.70211435,13901.8315,1.000260405
"loglike[1,126]",1.335991012,0.146717534,0.999440162,1.355063822,1.570081867,14122.46198,1.000241113
"loglike[1,127]",2.669671699,0.060934795,2.557807812,2.667932904,2.793082305,12773.2623,1.000197683
"loglike[1,128]",2.589566058,0.051794909,2.492701287,2.588387746,2.694123364,14037.74866,1.000265739
"loglike[1,129]",2.738822087,0.07050086,2.611528902,2.735634572,2.88330983,12025.16035,1.000121794
"loglike[1,130]",1.776876027,0.087847674,1.576213343,1.787764502,1.918572628,16229.53919,1.000304986
"loglike[1,131]",2.738110557,0.070384794,2.611010525,2.734956059,2.882427557,12033.44946,1.00012298
"loglike[1,132]",2.287243177,0.043254106,2.203429775,2.286576025,2.374393476,19087.52586,1.000181908
"loglike[1,133]",1.984791832,0.063525811,1.841646779,1.990983095,2.092853094,18769.10976,1.000335356
"loglike[1,134]",2.712675053,0.06661131,2.591502828,2.710298317,2.847965906,12299.57448,1.000155483
"loglike[1,135]",2.706965329,0.069363606,2.581316529,2.703315426,2.850311065,11730.58543,1.000036266
"loglike[1,136]",2.704084289,0.065426055,2.585117577,2.701835301,2.836710418,12388.10179,1.000164557
"loglike[1,137]",2.557090434,0.055116399,2.455489698,2.554750852,2.671148864,12449.31718,0.999996327
"loglike[1,138]",2.634427758,0.056688652,2.529406207,2.633144517,2.748476469,13250.45921,1.000228954
"loglike[1,139]",2.574434802,0.05663231,2.470162111,2.571851728,2.691356122,12298.13253,0.999997012
"loglike[1,140]",2.561796818,0.055522317,2.45957142,2.559359832,2.676776076,12405.9928,0.999996399
"loglike[1,141]",-14.4457236,2.535410187,-20.18691894,-14.13039309,-10.38887865,11686.55702,1.000014628
"loglike[1,142]",2.722655971,0.068032529,2.599371794,2.719862306,2.860902351,12197.89841,1.000144136
"loglike[1,143]",2.006250289,0.061301978,1.868904845,2.011991283,2.111370126,19119.03771,1.000336211
"loglike[1,144]",2.273557135,0.04345414,2.188730597,2.273009107,2.360357569,19518.77758,1.000197837
"loglike[1,145]",2.728840199,0.068944742,2.604142573,2.725849307,2.869465833,12134.20253,1.000136418
"loglike[1,146]",1.793865054,0.099254575,1.559653373,1.808146196,1.948103405,13044.89865,0.999894904
"loglike[1,147]",2.748996868,0.072546192,2.618230796,2.745804799,2.897858486,11852.44519,1.000092613
"loglike[1,148]",2.120516716,0.056939378,1.989015347,2.12666309,2.216044489,16054.67611,0.999949709
"loglike[1,149]",2.697211398,0.06840874,2.57318883,2.693564883,2.838010987,11742.74345,1.000030931
"loglike[1,150]",2.684904648,0.067193351,2.563036823,2.681324612,2.823348518,11764.9574,1.000025031
"loglike[1,151]",2.48958738,0.049828122,2.397825807,2.487726071,2.592698749,13298.22475,1.00000617
"loglike[1,152]",2.542145559,0.047334866,2.452259943,2.540873608,2.638148206,15168.0166,1.00029809
"loglike[1,153]",2.127683951,0.056155483,1.997739858,2.133655953,2.222322398,16195.17287,0.999953926
"loglike[1,154]",2.323491935,0.043143662,2.241071457,2.322366377,2.411952139,17838.65028,1.000138979
"loglike[1,155]",-1.069630791,0.527229892,-2.27888053,-0.99681394,-0.236353308,11707.62645,0.999971069
"loglike[1,156]",2.415966791,0.040340114,2.339271744,2.415141015,2.497883109,19585.54504,1.000295625
"loglike[1,157]",2.515774314,0.051750173,2.420716349,2.513715481,2.622397989,12913.40523,0.999999733
"loglike[1,158]",2.121063358,0.050950399,2.012373295,2.123768676,2.213748756,20877.00515,1.000318787
"loglike[1,159]",2.7141745,0.066821503,2.592596204,2.711676069,2.849828242,12284.27136,1.000153843
"loglike[1,160]",2.265808993,0.043849848,2.172594101,2.267845153,2.347293346,19761.35296,1.00009327
"loglike[1,161]",2.739324327,0.072316608,2.609103039,2.73577905,2.888020923,11744.26042,1.00006288
"loglike[1,162]",0.646578823,0.268833134,0.023794861,0.685969337,1.067365915,11861.76072,0.999940026
"loglike[1,163]",2.586399985,0.057708245,2.480373911,2.583686294,2.705733007,12206.69069,0.999998126
"loglike[1,164]",2.714146355,0.066817547,2.592574946,2.711647369,2.84978286,12284.55835,1.000153874
"loglike[1,165]",2.732550252,0.071757139,2.602833978,2.728997574,2.880458318,11730.24792,1.000055201
"loglike[1,166]",2.240835502,0.044276388,2.152720905,2.240929915,2.327228243,20383.71256,1.000233742
"loglike[1,167]",2.573759427,0.056572284,2.46959962,2.571188983,2.69056288,12303.59543,0.999996964
"loglike[1,168]",2.729028344,0.068972979,2.604311449,2.726086508,2.869727918,12132.23947,1.000136172
"loglike[1,169]",2.378180031,0.039977316,2.300809173,2.377988488,2.458310744,20617.44129,1.000257557
"loglike[1,170]",1.678346644,0.100464293,1.449353105,1.691408094,1.83917642,15502.78373,1.00028792
"loglike[1,171]",2.642021895,0.057574641,2.535551217,2.640568891,2.757975243,13138.68835,1.000222377
"loglike[1,172]",2.537923388,0.053508538,2.438993941,2.535806588,2.648235411,12644.94109,0.999996965
"loglike[1,173]",2.604675994,0.059393704,2.496017874,2.601606835,2.727716912,12085.27784,1.000000765
"loglike[1,174]",1.140742038,0.173974818,0.741741418,1.162999764,1.418213573,13716.33915,1.000222474
"loglike[1,175]",2.706448623,0.065749221,2.586922336,2.704126688,2.839814581,12363.55587,1.000162108
"loglike[1,176]",2.728506208,0.068894695,2.60388615,2.725515653,2.869026646,12137.6824,1.000136854
"loglike[1,177]",2.63320323,0.056547293,2.52847594,2.631922744,2.747102049,13268.99705,1.000230007
"loglike[1,178]",2.72379027,0.070968086,2.595808821,2.720056482,2.870337641,11723.62778,1.000047539
"loglike[1,179]",2.702511838,0.065212319,2.58381267,2.700288065,2.834696908,12404.52089,1.000166168
"loglike[1,180]",2.667043111,0.065424676,2.547905876,2.663417625,2.801980276,11809.71099,1.00001772
"loglike[1,181]",2.184072599,0.050409114,2.070803288,2.188308439,2.27232651,17487.23254,0.999996657
"loglike[1,182]",2.749067844,0.072662631,2.618052387,2.745832669,2.898629309,11835.56842,1.000089046
"loglike[1,183]",-2.230689947,0.702067254,-3.837702394,-2.136781529,-1.116644157,11685.4019,0.999981725
"loglike[1,184]",2.377040305,0.044083455,2.294715613,2.375491168,2.468183363,16002.68701,1.000080148
"loglike[1,185]",0.275507399,0.297583278,-0.396902921,0.3112219,0.74898023,12908.95156,1.00017518
"loglike[1,186]",2.735429631,0.069956151,2.609224503,2.73228188,2.878890664,12063.73006,1.000127202
"loglike[1,187]",2.703793701,0.065386486,2.584783495,2.701534791,2.836320938,12391.13011,1.000164855
"loglike[1,188]",2.61125549,0.060011653,2.501555049,2.608067763,2.735664878,12046.56171,1.00000198
"loglike[1,189]",2.688733748,0.063376716,2.572735423,2.686683613,2.816321089,12552.4734,1.000179802
"loglike[1,190]",1.186354089,0.188023554,0.746058077,1.213769959,1.477040489,12067.04767,0.999920867
"loglike[1,191]",2.681780857,0.062473613,2.567383136,2.679806101,2.807742004,12630.54945,1.00018643
"loglike[1,192]",2.286492038,0.043262846,2.20259823,2.285843712,2.373631021,19111.99833,1.000182791
"loglike[1,193]",2.707249618,0.069391254,2.581560577,2.703594768,2.850652509,11730.3101,1.000036432
"loglike[1,194]",2.548310604,0.054370602,2.447871913,2.54593496,2.660481808,12534.98982,0.999996429
"loglike[1,195]",2.747191394,0.072023048,2.617331799,2.743890692,2.895050556,11906.9258,1.00010299
"loglike[1,196]",2.665487725,0.065270911,2.546661067,2.66182786,2.800086885,11814.29266,1.000017143
"loglike[1,197]",1.876083314,0.075734277,1.703735756,1.884739564,2.001014398,17241.00795,1.000322131
