"","bull_threshold","bear_threshold","confirmation_period","ROI","NumberOfTrades"
"121",0.5,0.6,2,27.4564852005543,11
"122",0.55,0.6,2,27.4564852005543,11
"123",0.6,0.6,2,27.4564852005543,11
"124",0.65,0.6,2,26.2436325565099,11
"125",0.7,0.6,2,18.7662890592319,11
"126",0.75,0.6,2,18.7662890592319,11
"127",0.8,0.6,2,17.0435750424025,9
"128",0.85,0.6,2,28.7148932069573,7
"129",0.9,0.6,2,44.5614501049055,5
"130",0.95,0.6,2,25.8889562928558,5
"131",0.5,0.65,2,28.3529919415991,9
"132",0.55,0.65,2,28.3529919415991,9
"133",0.6,0.65,2,28.3529919415991,9
"134",0.65,0.65,2,27.1316083030779,9
"135",0.7,0.65,2,19.6016704726055,9
"136",0.75,0.65,2,19.6016704726055,9
"137",0.8,0.65,2,17.8668391851127,7
"138",0.85,0.65,2,18.0384751733222,7
"139",0.9,0.65,2,32.5706195614122,5
"140",0.95,0.65,2,15.4469391360727,5
"141",0.5,0.7,2,28.3529919415991,9
"142",0.55,0.7,2,28.3529919415991,9
"143",0.6,0.7,2,28.3529919415991,9
"144",0.65,0.7,2,27.1316083030779,9
"145",0.7,0.7,2,19.6016704726055,9
"146",0.75,0.7,2,19.6016704726055,9
"147",0.8,0.7,2,17.8668391851127,7
"148",0.85,0.7,2,18.0384751733222,7
"149",0.9,0.7,2,32.5706195614122,5
"150",0.95,0.7,2,15.4469391360727,5
"151",0.5,0.75,2,28.3529919415991,9
"152",0.55,0.75,2,28.3529919415991,9
"153",0.6,0.75,2,28.3529919415991,9
"154",0.65,0.75,2,27.1316083030779,9
"155",0.7,0.75,2,19.6016704726055,9
"156",0.75,0.75,2,19.6016704726055,9
"157",0.8,0.75,2,17.8668391851127,7
"158",0.85,0.75,2,18.0384751733222,7
"159",0.9,0.75,2,32.5706195614122,5
"160",0.95,0.75,2,15.4469391360727,5
"161",0.5,0.8,2,28.3529919415991,9
"162",0.55,0.8,2,28.3529919415991,9
"163",0.6,0.8,2,28.3529919415991,9
"164",0.65,0.8,2,27.1316083030779,9
"165",0.7,0.8,2,19.6016704726055,9
"166",0.75,0.8,2,19.6016704726055,9
"167",0.8,0.8,2,17.8668391851127,7
"168",0.85,0.8,2,18.0384751733222,7
"169",0.9,0.8,2,32.5706195614122,5
"170",0.95,0.8,2,15.4469391360727,5
"171",0.5,0.85,2,15.4514798464659,5
"172",0.55,0.85,2,15.4514798464659,5
"173",0.6,0.85,2,15.4514798464659,5
"174",0.65,0.85,2,14.3528646416743,5
"175",0.7,0.85,2,9.55426141813263,5
"176",0.75,0.85,2,9.55426141813263,5
"177",0.8,0.85,2,17.1151455409235,3
"178",0.85,0.85,2,17.2856869237092,3
"179",0.9,0.85,2,30.3394825980517,3
"180",0.95,0.85,2,13.5039902831106,3
"181",0.5,0.9,2,15.4514798464659,5
"182",0.55,0.9,2,15.4514798464659,5
"183",0.6,0.9,2,15.4514798464659,5
"184",0.65,0.9,2,14.3528646416743,5
"185",0.7,0.9,2,9.55426141813263,5
"186",0.75,0.9,2,9.55426141813263,5
"187",0.8,0.9,2,17.1151455409235,3
"188",0.85,0.9,2,17.2856869237092,3
"189",0.9,0.9,2,30.3394825980517,3
"190",0.95,0.9,2,13.5039902831106,3
"191",0.5,0.95,2,15.4514798464659,5
"192",0.55,0.95,2,15.4514798464659,5
"193",0.6,0.95,2,15.4514798464659,5
"194",0.65,0.95,2,14.3528646416743,5
"195",0.7,0.95,2,9.55426141813263,5
"196",0.75,0.95,2,9.55426141813263,5
"197",0.8,0.95,2,17.1151455409235,3
"198",0.85,0.95,2,17.2856869237092,3
"199",0.9,0.95,2,30.3394825980517,3
"200",0.95,0.95,2,13.5039902831106,3
"201",0.5,0.5,3,38.4539835668474,3
"202",0.55,0.5,3,38.4539835668474,3
"203",0.6,0.5,3,38.4539835668474,3
"204",0.65,0.5,3,35.2090348657777,3
"205",0.7,0.5,3,34.5745646176059,3
"206",0.75,0.5,3,34.5745646176059,3
"207",0.8,0.5,3,27.3758757670832,3
"208",0.85,0.5,3,36.4396555499506,1
"209",0.9,0.5,3,36.4396555499506,1
"210",0.95,0.5,3,16.7556130415367,1
"211",0.5,0.55,3,38.4539835668474,3
"212",0.55,0.55,3,38.4539835668474,3
"213",0.6,0.55,3,38.4539835668474,3
"214",0.65,0.55,3,35.2090348657777,3
"215",0.7,0.55,3,34.5745646176059,3
"216",0.75,0.55,3,34.5745646176059,3
"217",0.8,0.55,3,27.3758757670832,3
"218",0.85,0.55,3,36.4396555499506,1
"219",0.9,0.55,3,36.4396555499506,1
"220",0.95,0.55,3,16.7556130415367,1
"221",0.5,0.6,3,38.4539835668474,3
"222",0.55,0.6,3,38.4539835668474,3
"223",0.6,0.6,3,38.4539835668474,3
"224",0.65,0.6,3,35.2090348657777,3
